Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4R:U:C:V:A:TO1:A:NL,2017-Q2,84275.961
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4R:U:C:V:A:TO1:A:SG,2017-Q2,16762.199
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:C:V:A:TO1:A:US,2017-Q2,474990.638
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:D:A:A:TO1:A:3P,2017-Q2,12699547.216
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:D:A:A:TO1:A:AT,2017-Q2,111881.51
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:D:A:A:TO1:A:AU,2017-Q2,212263.841
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:D:A:A:TO1:A:BE,2017-Q2,208815.772
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:D:A:A:TO1:A:BR,2017-Q2,133240.081
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:D:A:A:TO1:A:CA,2017-Q2,275419.941
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:D:A:A:TO1:A:CH,2017-Q2,250153.952
